Drug_Name,Vina_Score_kcal_mol,Output_File
canrenone,-8.425,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\canrenone_docked.pdbqt
gestonorone,-8.4,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\gestonorone_docked.pdbqt
benperidol,-8.397,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\benperidol_docked.pdbqt
nitisinone,-8.374,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nitisinone_docked.pdbqt
entrectinib,-8.363,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\entrectinib_docked.pdbqt
enoxacin,-8.361,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\enoxacin_docked.pdbqt
perflunafene,-8.36,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\perflunafene_docked.pdbqt
nandrolone,-8.36,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nandrolone_docked.pdbqt
camostat,-8.359,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\camostat_docked.pdbqt
enasidenib,-8.355,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\enasidenib_docked.pdbqt
midazolam,-8.345,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\midazolam_docked.pdbqt
tropisetron,-8.323,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tropisetron_docked.pdbqt
cefadroxil,-8.318,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cefadroxil_docked.pdbqt
clofoctol,-8.314,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\clofoctol_docked.pdbqt
diacerein,-8.308,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\diacerein_docked.pdbqt
enalaprilat,-8.297,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\enalaprilat_docked.pdbqt
indisetron,-8.291,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\indisetron_docked.pdbqt
olprinone,-8.286,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\olprinone_docked.pdbqt
amino_diphenylhydantoin__valeric_acid,-8.285,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\amino_diphenylhydantoin__valeric_acid_docked.pdbqt
